name,abbr,region,dec lat,dec long
Netherlands,NLD,Europe,52.1326,5.2913
New Zealand,NZL,Oceania,-40.9006,174.8860
Nicaragua,NIC,North America,12.8654,-85.2072
Niger,NER,Africa,17.6078,8.6753
Nigeria,NGA,Africa,9.0820,8.6753
North Korea,PRK,Asia,40.3399,127.5101
North Macedonia,MKD,Europe,41.6086,21.7453
Norway,NOR,Europe,60.4720,8.4689
Oman,OMN,Asia,21.4735,55.9754
Pakistan,PAK,Asia,30.3753,69.3451
Palau,PLW,Oceania,7.3150,134.4807
Palestine,PSE,Asia,31.9454,35.2338
Panama,PAN,North America,8.5380,-80.7821
Papua New Guinea,PNG,Oceania,-6.3150,143.9555
Paraguay,PRY,South America,-23.4425,-58.4438
Peru,PER,South America,-9.1900,-75.0152
Philippines,PHL,Asia,12.8797,121.7740
Poland,POL,Europe,51.9194,19.1451
Portugal,PRT,Europe,39.3999,-8.2245
Qatar,QAT,Asia,25.3548,51.1839
Romania,ROU,Europe,45.9432,24.9668
Russia,RUS,Asia,61.5240,105.3188
Rwanda,RWA,Africa,-1.9536,29.8739
Saint Kitts and Nevis,KNA,North America,17.2978,-62.7830
Saint Lucia,LCA,North America,13.9094,-60.9789
Saint Vincent and the Grenadines,VCT,North America,12.9843,-61.2872
Samoa,WSM,Oceania,-13.7590,-172.1046
San Marino,SMR,Europe,43.9424,12.4578
Sao Tome and Principe,STP,Africa,0.1864,6.6131
Saudi Arabia,SAU,Asia,23.8859,45.0792
Senegal,SEN,Africa,14.4974,-14.4524
Serbia,SRB,Europe,44.0165,21.0059
Seychelles,SYC,Africa,-4.6796,55.4920
Sierra Leone,SLE,Africa,8.4606,-11.7799
Singapore,SGP,Asia,1.3521,103.8198
Slovakia,SVK,Europe,48.6690,19.6990
Slovenia,SVN,Europe,46.1512,14.9955
Solomon Islands,SLB,Oceania,-9.6412,160.1562
Somalia,SOM,Africa,5.1521,46.1996
South Africa,ZAF,Africa,-30.5595,22.9375
South Korea,KOR,Asia,35.9078,127.7669
South Sudan,SSD,Africa,6.8770,31.3070
Spain,ESP,Europe,40.4637,-3.7492
Sri Lanka,LKA,Asia,7.8731,80.7718
Sudan,SDN,Africa,12.8628,30.8065
Suriname,SUR,South America,3.9193,-56.0278
Sweden,SWE,Europe,60.1282,18.6435
Switzerland,CHE,Europe,46.8182,8.2275
Syria,SYR,Asia,34.8021,38.9968
Taiwan,TWN,Asia,23.6978,120.9605
Tajikistan,TJK,Asia,38.8610,71.2761
Tanzania,TZA,Africa,-6.3690,34.8888
Thailand,THA,Asia,15.8700,100.9925
Timor-Leste,TLS,Asia,-8.8383,125.9181
Togo,TGO,Africa,6.1256,1.2324
Tonga,TON,Oceania,-21.1789,-175.1982
Trinidad and Tobago,TTO,North America,10.6918,-61.2225
Tunisia,TUN,Africa,33.8869,9.5375
Turkey,TUR,Asia,38.9637,35.2433
Turkmenistan,TKM,Asia,38.9697,59.5563
Tuvalu,TUV,Oceania,-8.5211,179.1982
Uganda,UGA,Africa,1.3733,32.2903
Ukraine,UKR,Europe,48.3794,31.1656
United Arab Emirates,ARE,Asia,23.4241,53.8478
United Kingdom,GBR,Europe,55.3781,-3.4360
United States,USA,North America,37.0902,-95.7129
Uruguay,URY,South America,-32.5228,-55.7658
Uzbekistan,UZB,Asia,41.3775,64.5853
Vanuatu,VUT,Oceania,-17.7404,168.3045
Vatican City,VAT,Europe,41.9029,12.4534
Venezuela,VEN,South America,6.4238,-66.5897
Vietnam,VNM,Asia,14.0583,108.2772
Yemen,YEM,Asia,15.5527,48.5164
Zambia,ZMB,Africa,-13.1339,27.8493
Zimbabwe,ZWE,Africa,-19.0154,29.1549

